cooperativa,abreviacion,activos_productivos_sobre_total_activos,activos_productivos_sobre_pasivos_con_costo,morosidad_cartera_productiva,morosidad_total,cobertura_cartera_problematica,cartera_refinanciada,cartera_reestructurada,gastos_operativos_sobre_activos,roa,roe,cartera_sobre_depositos,margen_intermediacion_sobre_activo_promedio,gastos_operativos_sobre_activo_promedio,label
CREA LIMITADA,CREA,0.8033225343036905,0.905727072936894,0.1174781923289233,0.1595967361065462,0.1832920697631446,0.0,0.0,0.0553912417999209,-0.002116368038609,-0.0212113614981411,0.856384478650825,-0.0039967045877567,0.1832920697631446,B
DE LA PEQUEÑA EMPRESA BIBLIAN LIMITADA,CACPEB,0.900036428413928,1.075494450499198,0.1182382845075005,0.0883230963911282,0.9883536553714372,0.0,0.0,0.0387806105228089,0.0008111161534858,0.0056658250803951,0.8154286814741941,-0.0046198695390048,0.9883536553714372,A
DE LA PEQUEÑA EMPRESA CACPE LOJA LTDA,CACPELOJ,0.9491431296629196,1.1955684668990758,0.0,0.0455235192140029,1.5433933675178515,0.0,0.0,0.0531894911107531,0.0093246842302963,0.0552457124818305,1.0352258169949458,0.0061073354684812,1.5433933675178515,A
DE LA PEQUEÑA EMPRESA DE COTOPAXI LIMITADA,CACPECOT,0.970684915228538,1.2678373493656012,0.0227415484423451,0.0979902804155907,1.505662881859816,0.1912614793651225,0.1846606517532694,0.0280501302401019,0.0134929577151807,0.069021839991164,0.8451273439703414,0.0083692967248967,1.505662881859816,AAA
DE LA PEQUEÑA EMPRESA DE PASTAZA LIMITADA,CACPEPAS,0.9303846576704804,1.169965940623502,0.0,0.0456975352848958,1.323058914753434,0.3860000903408714,0.3546208759221341,0.0417049140226879,0.0082526673134608,0.0514307537946857,0.9232591108045316,0.0131864914220596,1.323058914753434,AA
DE LA PEQUEÑA EMPRESA GUALAQUIZA,CACPEGUA,0.9396446916608794,1.1020814151284797,0.0,0.0366072749210386,1.621660652033067,0.0451867615296154,0.1804813619372703,0.0425660948228215,0.0109885426770659,0.1016353879401697,0.8994255102705124,0.014278126072917,1.621660652033067,BBB
DE LOS SERVIDORES PUBLICOS DEL MINISTERIO DE EDUCACION Y CULTURA,MECSP,0.9553927007880052,1.3160928326221502,0.0,0.0139576544423908,2.8683094806761664,0.1184210823503194,0.1154148501950267,0.0367094102951289,0.0155641975123613,0.0664962417910147,1.5095969808418963,0.0283626699941113,2.8683094806761664,AA
EL SAGRARIO LTDA,SAGR,0.9319898237922716,1.1303750465702729,0.0589080696019469,0.0936859585848273,1.084432954364531,0.1446024851445804,0.1665512511866276,0.0306049402123033,0.002814235050558,0.0185836120530405,0.6742824571203594,-0.0023455791870751,1.084432954364531,AA
ERCO LIMITADA,ERCO,0.9439515469910502,1.172473396790804,0.0,0.0855912800654288,1.261677482947318,0.173076043871047,0.1663478752789027,0.0444499548751257,0.0034300865076584,0.0220518095448044,0.9348778922618488,0.001422190039064,1.261677482947318,A
FERNANDO DAQUILEMA LIMITADA,FDAQ,0.9383482328114152,1.0696319964331371,0.0060988180600207,0.0644199400388248,1.0172187291057115,0.0,0.1859891384149402,0.0517499269839889,0.0010332251637668,0.0105257266817736,0.9313806833661232,-0.0029639698836204,1.0172187291057115,A
